fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-10-14,9903,751,8401,654,0.07583560537210947,0.07784787525294608
2021-10-15,10785,605,9230,543,0.056096430227167364,0.05882990249187432
2021-10-16,3585,195,2993,161,0.05439330543933055,0.05379218175743401
2021-10-17,2477,169,2119,139,0.0682276947920872,0.06559697970740916
2021-10-18,9764,635,8451,555,0.06503482179434658,0.06567270145544905
2021-10-19,8523,555,7392,502,0.06511791622668074,0.06791125541125541
2021-10-20,9080,569,7939,500,0.06266519823788547,0.06298022420959819
2021-10-21,8314,529,7266,471,0.06362761606928073,0.064822460776218
2021-10-22,8784,428,7845,387,0.048724954462659384,0.04933078393881453
2021-10-23,4423,153,3898,129,0.03459190594619037,0.03309389430477168
2021-10-24,2705,105,2218,92,0.038817005545286505,0.04147880973850315
2021-10-25,10059,554,8863,495,0.05507505716273983,0.05585016360148934
2021-10-26,7712,451,6675,392,0.058480290456431536,0.058726591760299623
2021-10-27,7841,460,6763,398,0.05866598648131616,0.058849622948395686
2021-10-28,7147,383,6185,340,0.05358891842731216,0.0549717057396928
2021-10-29,6452,364,5602,322,0.056416615003099815,0.057479471617279544
2021-10-30,2821,112,2398,92,0.03970223325062035,0.03836530442035029
2021-10-31,1867,85,1538,74,0.04552758435993572,0.04811443433029909
2021-11-01,6120,351,5298,317,0.057352941176470586,0.05983389958474896
2021-11-02,3585,199,3012,171,0.05550906555090655,0.05677290836653386
2021-11-03,8440,337,7170,296,0.03992890995260664,0.041283124128312414
2021-11-04,7824,346,6727,297,0.04422290388548057,0.04415043853129181
2021-11-05,7805,460,6858,419,0.058936579115951314,0.06109652960046661
2021-11-06,2320,127,2010,106,0.054741379310344826,0.0527363184079602
2021-11-07,1970,90,1700,82,0.04568527918781726,0.04823529411764706
2021-11-08,8725,387,7715,357,0.04435530085959885,0.04627349319507453
2021-11-09,8666,297,7742,275,0.03427186706669744,0.03552053732885559
2021-11-10,7339,364,6446,334,0.04959803787982014,0.05181507911883339
2021-11-11,6933,345,6074,306,0.049762007788836,0.05037866315442871
2021-11-12,8783,331,8017,306,0.03768643971308209,0.0381688911063989
2021-11-13,1985,77,1792,70,0.038790931989924435,0.0390625
2021-11-14,1312,68,1128,60,0.051829268292682924,0.05319148936170213
2021-11-15,1608,80,1392,67,0.04975124378109453,0.048132183908045974
2021-11-16,6955,419,6100,397,0.06024442846872753,0.06508196721311475
2021-11-17,6802,403,6024,369,0.05924728021170244,0.061254980079681276
2021-11-18,6704,356,5870,324,0.053102625298329355,0.05519591141396934
2021-11-19,6314,281,5542,258,0.04450427621159329,0.04655359076145796
2021-11-20,1495,81,1317,75,0.05418060200668896,0.05694760820045558
2021-11-21,1745,82,1482,60,0.04699140401146132,0.04048582995951417
2021-11-22,7005,338,6111,304,0.048251249107780156,0.04974635902470954
2021-11-23,9140,331,8322,290,0.0362144420131291,0.03484739245373708
2021-11-24,8957,337,8124,299,0.037624204532767665,0.03680452978828164
